6.98568e+01	1.77506e+01	1.45144e-03	12	21
6.77673e+01	1.82979e+01	4.17264e-01	12	23
3.56422e+01	3.47902e+01	1.33122e-04	12	27
3.19743e+01	3.87811e+01	4.51519e-05	12	30
3.14453e+01	3.94335e+01	1.18335e-05	12	31
3.04808e+01	4.06813e+01	6.74160e-05	12	33
2.43722e+01	5.08775e+01	8.43058e-06	12	35
2.37894e+02	5.21241e+00	1.20795e-01	13	16
1.57618e+02	7.86713e+00	3.86268e-03	13	19
1.45713e+02	8.50991e+00	1.00378e-01	13	20
1.27054e+02	9.75964e+00	3.96192e-02	13	22
7.58176e+01	1.63550e+01	1.44053e-01	13	24
5.66504e+01	2.18886e+01	6.10788e-02	13	25
5.20153e+01	2.38391e+01	1.76091e-05	13	26
4.21717e+01	2.94036e+01	7.20208e-04	13	28
4.17059e+01	2.97320e+01	2.98431e-03	13	29
3.92095e+01	3.16250e+01	1.91994e-04	13	32
3.84860e+01	3.22195e+01	6.05911e-05	13	34
3.13839e+02	3.95108e+00	8.24375e-03	14	16
1.87714e+02	6.60579e+00	8.09138e-03	14	19
1.71068e+02	7.24857e+00	1.78349e-02	14	20
1.45912e+02	8.49830e+00	7.23946e-03	14	22
8.21534e+01	1.50937e+01	7.96232e-02	14	24
6.01145e+01	2.06273e+01	7.85235e-03	14	25
5.49212e+01	2.25778e+01	1.09300e-03	14	26
4.40619e+01	2.81422e+01	2.67098e-04	14	28
4.35536e+01	2.84707e+01	1.05967e-02	14	29
4.08384e+01	3.03636e+01	3.06518e-03	14	32
4.00540e+01	3.09582e+01	1.26015e-05	14	34
9.22432e+02	1.34427e+00	3.96461e-01	15	16
3.10078e+02	3.99899e+00	3.32113e-03	15	19
2.67140e+02	4.64177e+00	8.89857e-04	15	20
2.10473e+02	5.89149e+00	2.40179e-04	15	22
9.93040e+01	1.24869e+01	7.83570e-04	15	24
6.88105e+01	1.80205e+01	3.44546e-03	15	25
6.20900e+01	1.99710e+01	6.96072e-01	15	26
4.85600e+01	2.55354e+01	1.39854e-04	15	28
4.79434e+01	2.58639e+01	6.76388e-05	15	29
4.46737e+01	2.77568e+01	4.28424e-03	15	32
7.09498e+02	1.74771e+00	2.19631e-01	16	17
5.72031e+02	2.16771e+00	3.07824e-01	16	18
3.07155e+02	4.03705e+00	4.52955e-02	16	21
2.70485e+02	4.58436e+00	1.03405e-03	16	23
5.88329e+01	2.10766e+01	4.69174e-01	16	27
4.94663e+01	2.50676e+01	9.93982e-04	16	30
4.82116e+01	2.57200e+01	5.35167e-05	16	31
4.59808e+01	2.69678e+01	3.60057e-03	16	33
3.33656e+01	3.71640e+01	2.82678e-03	16	35
1.36714e+03	9.07001e-01	5.21012e-01	17	19
8.00115e+02	1.54978e+00	1.42802e-02	17	20
4.42935e+02	2.79951e+00	1.19321e-04	17	22
1.31986e+02	9.39492e+00	2.46054e-04	17	24
8.30625e+01	1.49285e+01	5.04233e-05	17	25
7.34640e+01	1.68790e+01	1.57260e-02	17	26
5.52500e+01	2.24434e+01	7.09818e-01	17	28
5.44531e+01	2.27719e+01	4.17333e-04	17	29
5.02740e+01	2.46648e+01	2.73702e-03	17	32
2.54618e+03	4.87003e-01	1.56644e-01	18	19
1.09756e+03	1.12978e+00	4.40620e-01	18	20
5.21116e+02	2.37951e+00	2.20316e-02	18	22
1.38163e+02	8.97492e+00	9.28020e-03	18	24
8.54671e+01	1.45085e+01	6.53214e-04	18	25
7.53386e+01	1.64590e+01	5.82100e-03	18	26
5.63036e+01	2.20234e+01	3.37863e-04	18	28
5.54763e+01	2.23519e+01	5.51873e-01	18	29
5.11449e+01	2.42448e+01	4.58626e-04	18	32
4.99207e+01	2.48394e+01	6.40889e-05	18	34
8.97035e+02	1.38233e+00	3.89731e-01	19	21
6.42605e+02	1.92965e+00	1.29037e-04	19	23
6.73111e+01	1.84219e+01	1.47027e-03	19	27
5.53254e+01	2.24129e+01	4.97016e-01	19	30
5.37605e+01	2.30652e+01	7.61314e-07	19	31
5.10014e+01	2.43131e+01	8.75470e-04	19	33
3.59324e+01	3.45093e+01	1.01607e-04	19	35
1.67668e+03	7.39555e-01	1.28129e-01	20	21
9.63579e+02	1.28687e+00	1.10871e+00	20	23
6.97447e+01	1.77791e+01	5.27637e-04	20	27
5.69589e+01	2.17701e+01	7.80777e-05	20	30
5.53017e+01	2.24225e+01	7.86263e-01	20	31
5.23863e+01	2.36703e+01	2.12733e-03	20	33
3.66144e+01	3.38665e+01	1.37597e-03	20	35
2.43054e+03	5.10174e-01	7.05902e-01	21	22
1.74511e+02	7.10559e+00	5.51611e-03	21	24
9.81077e+01	1.26392e+01	1.74005e-03	21	25
8.49916e+01	1.45897e+01	2.90973e-03	21	26
6.15259e+01	2.01541e+01	2.14235e-03	21	28
6.05394e+01	2.04825e+01	1.41709e-03	21	29
5.54178e+01	2.23755e+01	5.93154e-01	21	32
